,Item,order,response1,response2,response3,trialnumber,userCode,condition,verb,r1,r2,c1,c2
452,37,undefined,VRAI,Enregistrement 2,5,14,IND9,All not,boire,FAUX,Enregistrement 1,0,0
453,37,undefined,FAUX,Enregistrement 1,5,14,NCR14,All not,boire,FAUX,Enregistrement 1,1,1
454,37,undefined,FAUX,Enregistrement 1,3,14,ABY16,All not,boire,FAUX,Enregistrement 1,1,1
455,37,undefined,VRAI,Enregistrement 2,5,26,CFJ15,All not,boire,FAUX,Enregistrement 1,0,0
456,37,undefined,VRAI,Enregistrement 1,3,30,BDC12,All not,boire,FAUX,Enregistrement 1,0,1
457,37,undefined,FAUX,Enregistrement 1,3,14,WPX3,All not,boire,FAUX,Enregistrement 1,1,1
458,37,undefined,FAUX,Enregistrement 1,5,14,ZXY5,All not,boire,FAUX,Enregistrement 1,1,1
459,37,undefined,VRAI,Enregistrement 2,1,26,QNS18,All not,boire,FAUX,Enregistrement 1,0,0
460,38,undefined,FAUX,Enregistrement 1,4,26,JLR1,All not,dire,VRAI,Enregistrement 1,0,1
461,38,undefined,VRAI,Enregistrement 2,5,22,ZXY5,All not,dire,VRAI,Enregistrement 1,1,0
462,38,undefined,FAUX,Enregistrement 1,4,10,IND9,All not,dire,VRAI,Enregistrement 1,0,1
463,38,undefined,FAUX,Enregistrement 1,4,30,CFJ15,All not,dire,VRAI,Enregistrement 1,0,1
464,38,undefined,VRAI,Enregistrement 1,3,10,LYB6,All not,dire,VRAI,Enregistrement 1,1,1
465,38,undefined,VRAI,Enregistrement 2,5,14,ZYC8,All not,dire,VRAI,Enregistrement 1,1,0
466,38,undefined,VRAI,Enregistrement 1,5,34,BDC12,All not,dire,VRAI,Enregistrement 1,1,1
467,38,undefined,FAUX,Enregistrement 2,1,34,QNS18,All not,dire,VRAI,Enregistrement 1,0,0
468,38,undefined,VRAI,Enregistrement 1,3,10,ABY16,All not,dire,VRAI,Enregistrement 1,1,1
469,38,undefined,VRAI,Enregistrement 1,1,10,NCR14,All not,dire,VRAI,Enregistrement 1,1,1
470,39,undefined,FAUX,Enregistrement 1,5,26,ZXY5,All not,faire,FAUX,Enregistrement 1,1,1
471,39,undefined,FAUX,Enregistrement 1,3,22,ABY16,All not,faire,FAUX,Enregistrement 1,1,1
472,39,undefined,FAUX,Enregistrement 1,3,22,JLR1,All not,faire,FAUX,Enregistrement 1,1,1
473,39,undefined,FAUX,Enregistrement 2,5,26,ZYC8,All not,faire,FAUX,Enregistrement 1,1,0
474,39,undefined,FAUX,Enregistrement 2,5,34,CFJ15,All not,faire,FAUX,Enregistrement 1,1,0
475,39,undefined,FAUX,Enregistrement 2,3,22,BDC12,All not,faire,FAUX,Enregistrement 1,1,0
476,39,undefined,FAUX,Enregistrement 2,5,34,NCR14,All not,faire,FAUX,Enregistrement 1,1,0
477,39,undefined,FAUX,Enregistrement 2,1,30,QNS18,All not,faire,FAUX,Enregistrement 1,1,0
478,39,undefined,FAUX,Enregistrement 1,4,18,IND9,All not,faire,FAUX,Enregistrement 1,1,1
479,4,undefined,VRAI,Enregistrement 1,2,13,VBJ34,NC,faire,VRAI,Enregistrement 1,1,1
480,4,undefined,VRAI,Enregistrement 2,4,17,AEX2,NC,faire,VRAI,Enregistrement 1,1,0
481,4,undefined,VRAI,Enregistrement 2,4,33,TVY31,NC,faire,VRAI,Enregistrement 1,1,0
482,4,undefined,VRAI,Enregistrement 2,5,13,TAO36,NC,faire,VRAI,Enregistrement 1,1,0
483,4,undefined,VRAI,Enregistrement 2,5,17,IEI16,NC,faire,VRAI,Enregistrement 1,1,0
484,4,undefined,VRAI,Enregistrement 2,3,21,BSW19,NC,faire,VRAI,Enregistrement 1,1,0
485,4,undefined,VRAI,Enregistrement 2,5,29,BJT30,NC,faire,VRAI,Enregistrement 1,1,0
486,4,undefined,VRAI,Enregistrement 1,2,17,NLP40,NC,faire,VRAI,Enregistrement 1,1,1
487,4,undefined,VRAI,Enregistrement 2,4,25,WXS7,NC,faire,VRAI,Enregistrement 1,1,0
488,4,undefined,VRAI,Enregistrement 2,4,29,CCU15,NC,faire,VRAI,Enregistrement 1,1,0
489,4,undefined,VRAI,Enregistrement 2,3,9,XHJ4,NC,faire,VRAI,Enregistrement 1,1,0
490,4,undefined,VRAI,Enregistrement 2,4,29,LVE32,NC,faire,VRAI,Enregistrement 1,1,0
491,4,undefined,VRAI,Enregistrement 2,4,29,QCG14,NC,faire,VRAI,Enregistrement 1,1,0
492,4,undefined,VRAI,Enregistrement 2,2,25,ZBB23,NC,faire,VRAI,Enregistrement 1,1,0
493,4,undefined,VRAI,Enregistrement 2,3,17,EQH1,NC,faire,VRAI,Enregistrement 1,1,0
494,4,undefined,VRAI,Enregistrement 2,5,9,UUA3,NC,faire,VRAI,Enregistrement 1,1,0
495,40,undefined,FAUX,Enregistrement 2,5,26,NCR14,All not,lire,FAUX,Enregistrement 1,1,0
496,40,undefined,FAUX,Enregistrement 2,4,26,IND9,All not,lire,FAUX,Enregistrement 1,1,0
497,40,undefined,FAUX,Enregistrement 1,3,30,ABY16,All not,lire,FAUX,Enregistrement 1,1,1
498,40,undefined,FAUX,Enregistrement 1,1,22,QNS18,All not,lire,FAUX,Enregistrement 1,1,1
499,40,undefined,FAUX,Enregistrement 2,3,18,JLR1,All not,lire,FAUX,Enregistrement 1,1,0
500,40,undefined,VRAI,Enregistrement 1,4,18,BDC12,All not,lire,FAUX,Enregistrement 1,0,1
501,40,undefined,FAUX,Enregistrement 1,5,10,ZYC8,All not,lire,FAUX,Enregistrement 1,1,1
502,40,undefined,FAUX,Enregistrement 2,5,30,ZXY5,All not,lire,FAUX,Enregistrement 1,1,0
503,40,undefined,VRAI,Enregistrement 2,4,14,CFJ15,All not,lire,FAUX,Enregistrement 1,0,0
504,41,undefined,FAUX,Enregistrement 1,3,18,ABY16,All not,manger,FAUX,Enregistrement 1,1,1
505,41,undefined,FAUX,Enregistrement 2,5,30,NCR14,All not,manger,FAUX,Enregistrement 1,1,0
506,41,undefined,FAUX,Enregistrement 2,5,18,ZYC8,All not,manger,FAUX,Enregistrement 1,1,0
507,41,undefined,FAUX,Enregistrement 1,4,10,ZXY5,All not,manger,FAUX,Enregistrement 1,1,1
508,41,undefined,FAUX,Enregistrement 2,3,30,IND9,All not,manger,FAUX,Enregistrement 1,1,0
509,41,undefined,FAUX,Enregistrement 2,1,10,QNS18,All not,manger,FAUX,Enregistrement 1,1,0
510,41,undefined,FAUX,Enregistrement 1,2,34,JLR1,All not,manger,FAUX,Enregistrement 1,1,1
511,41,undefined,FAUX,Enregistrement 1,5,10,BDC12,All not,manger,FAUX,Enregistrement 1,1,1
512,41,undefined,VRAI,Enregistrement 2,4,22,CFJ15,All not,manger,FAUX,Enregistrement 1,0,0
513,41,undefined,FAUX,Enregistrement 2,1,18,WPX3,All not,manger,FAUX,Enregistrement 1,1,0
514,42,undefined,FAUX,Enregistrement 2,3,14,BDC12,All not,voir,VRAI,Enregistrement 1,0,0
515,42,undefined,FAUX,Enregistrement 1,5,18,NCR14,All not,voir,VRAI,Enregistrement 1,0,1
516,42,undefined,FAUX,Enregistrement 1,2,22,IND9,All not,voir,VRAI,Enregistrement 1,0,1
517,42,undefined,VRAI,Enregistrement 1,3,10,CFJ15,All not,voir,VRAI,Enregistrement 1,1,1
518,42,undefined,VRAI,Enregistrement 1,3,34,ABY16,All not,voir,VRAI,Enregistrement 1,1,1
519,42,undefined,VRAI,Enregistrement 2,5,34,ZYC8,All not,voir,VRAI,Enregistrement 1,1,0
520,42,undefined,VRAI,Enregistrement 1,5,34,ZXY5,All not,voir,VRAI,Enregistrement 1,1,1
521,42,undefined,VRAI,Enregistrement 2,1,14,JLR1,All not,voir,VRAI,Enregistrement 1,1,0
522,42,undefined,VRAI,Enregistrement 1,1,14,QNS18,All not,voir,VRAI,Enregistrement 1,1,1
523,42,undefined,VRAI,Enregistrement 1,1,10,WPX3,All not,voir,VRAI,Enregistrement 1,1,1
524,43,undefined,VRAI,Enregistrement 2,4,12,REA6,Not All,aimer,VRAI,Enregistrement 2,1,1
525,43,undefined,VRAI,Enregistrement 2,4,12,YUF17,Not All,aimer,VRAI,Enregistrement 2,1,1
526,43,undefined,VRAI,Enregistrement 1,3,12,XHJ4,Not All,aimer,VRAI,Enregistrement 2,1,0
527,43,undefined,FAUX,Enregistrement 2,5,20,ZYC8,Not All,aimer,VRAI,Enregistrement 2,0,1
528,43,undefined,FAUX,Enregistrement 2,5,24,QCG14,Not All,aimer,VRAI,Enregistrement 2,0,1
529,43,undefined,VRAI,Enregistrement 1,1,32,JLR1,Not All,aimer,VRAI,Enregistrement 2,1,0
530,43,undefined,VRAI,Enregistrement 2,3,16,WPX3,Not All,aimer,VRAI,Enregistrement 2,1,1
531,43,undefined,VRAI,Enregistrement 1,4,24,ZXY5,Not All,aimer,VRAI,Enregistrement 2,1,0
532,43,undefined,VRAI,Enregistrement 2,3,28,BJT30,Not All,aimer,VRAI,Enregistrement 2,1,1
533,43,undefined,FAUX,Enregistrement 2,5,20,IEI16,Not All,aimer,VRAI,Enregistrement 2,0,1
534,43,undefined,VRAI,Enregistrement 1,1,24,TVY31,Not All,aimer,VRAI,Enregistrement 2,1,0
535,43,undefined,VRAI,Enregistrement 1,5,12,IND9,Not All,aimer,VRAI,Enregistrement 2,1,0
536,43,undefined,VRAI,Enregistrement 1,1,12,QNS18,Not All,aimer,VRAI,Enregistrement 2,1,0
537,43,undefined,FAUX,Enregistrement 2,5,24,NCR14,Not All,aimer,VRAI,Enregistrement 2,0,1
538,43,undefined,VRAI,Enregistrement 1,3,20,UUA3,Not All,aimer,VRAI,Enregistrement 2,1,0
539,43,undefined,VRAI,Enregistrement 2,1,16,EQH1,Not All,aimer,VRAI,Enregistrement 2,1,1
540,43,undefined,VRAI,Enregistrement 1,5,24,LVE32,Not All,aimer,VRAI,Enregistrement 2,1,0
541,43,undefined,FAUX,Enregistrement 2,2,28,BSW19,Not All,aimer,VRAI,Enregistrement 2,0,1
542,43,undefined,VRAI,Enregistrement 2,3,36,TAO36,Not All,aimer,VRAI,Enregistrement 2,1,1
543,43,undefined,VRAI,Enregistrement 1,3,16,ABY16,Not All,aimer,VRAI,Enregistrement 2,1,0
544,43,undefined,VRAI,Enregistrement 2,2,32,VBJ34,Not All,aimer,VRAI,Enregistrement 2,1,1
545,43,undefined,VRAI,Enregistrement 2,2,36,WXS7,Not All,aimer,VRAI,Enregistrement 2,1,1
546,43,undefined,FAUX,Enregistrement 2,4,24,OLT28,Not All,aimer,VRAI,Enregistrement 2,0,1
547,43,undefined,VRAI,Enregistrement 1,4,28,CFJ15,Not All,aimer,VRAI,Enregistrement 2,1,0
548,43,undefined,VRAI,undefined,3,28,CCU15,Not All,aimer,VRAI,Enregistrement 2,1,0
549,43,undefined,VRAI,Enregistrement 1,2,16,ZBB23,Not All,aimer,VRAI,Enregistrement 2,1,0
550,43,undefined,VRAI,Enregistrement 2,4,24,NLP40,Not All,aimer,VRAI,Enregistrement 2,1,1
551,43,undefined,FAUX,Enregistrement 1,3,16,BDC12,Not All,aimer,VRAI,Enregistrement 2,0,0
552,44,undefined,VRAI,Enregistrement 1,1,12,IED39,Not All,boire,VRAI,Enregistrement 2,1,0
553,44,undefined,VRAI,Enregistrement 1,1,20,ZBB23,Not All,boire,VRAI,Enregistrement 2,1,0
554,44,undefined,FAUX,Enregistrement 1,1,12,AEX2,Not All,boire,VRAI,Enregistrement 2,0,0
555,44,undefined,FAUX,Enregistrement 2,5,28,NCR14,Not All,boire,VRAI,Enregistrement 2,0,1
556,44,undefined,VRAI,Enregistrement 1,5,12,IEI16,Not All,boire,VRAI,Enregistrement 2,1,0
557,44,undefined,VRAI,Enregistrement 1,1,16,LVE32,Not All,boire,VRAI,Enregistrement 2,1,0
558,44,undefined,VRAI,Enregistrement 1,3,24,CFJ15,Not All,boire,VRAI,Enregistrement 2,1,0
559,44,undefined,VRAI,Enregistrement 2,1,36,TVY31,Not All,boire,VRAI,Enregistrement 2,1,1
560,44,undefined,VRAI,Enregistrement 1,2,12,EQH1,Not All,boire,VRAI,Enregistrement 2,1,0
561,44,undefined,VRAI,Enregistrement 2,1,36,VBJ34,Not All,boire,VRAI,Enregistrement 2,1,1
562,44,undefined,FAUX,Enregistrement 2,5,32,QCG14,Not All,boire,VRAI,Enregistrement 2,0,1
563,44,undefined,VRAI,Enregistrement 2,3,12,WXS7,Not All,boire,VRAI,Enregistrement 2,1,1
564,44,undefined,VRAI,Enregistrement 1,4,32,ZXY5,Not All,boire,VRAI,Enregistrement 2,1,0
565,44,undefined,VRAI,Enregistrement 1,2,16,NLP40,Not All,boire,VRAI,Enregistrement 2,1,0
566,44,undefined,VRAI,Enregistrement 1,3,24,ABY16,Not All,boire,VRAI,Enregistrement 2,1,0
567,44,undefined,FAUX,Enregistrement 1,1,32,XHJ4,Not All,boire,VRAI,Enregistrement 2,0,0
568,44,undefined,VRAI,Enregistrement 1,2,36,IND9,Not All,boire,VRAI,Enregistrement 2,1,0
569,44,undefined,VRAI,Enregistrement 1,1,12,BSW19,Not All,boire,VRAI,Enregistrement 2,1,0
570,44,undefined,VRAI,Enregistrement 1,1,28,QNS18,Not All,boire,VRAI,Enregistrement 2,1,0
571,44,undefined,VRAI,Enregistrement 1,5,12,BDC12,Not All,boire,VRAI,Enregistrement 2,1,0
572,44,undefined,VRAI,undefined,1,32,CCU15,Not All,boire,VRAI,Enregistrement 2,1,0
573,44,undefined,VRAI,Enregistrement 1,1,16,BIL13,Not All,boire,VRAI,Enregistrement 2,1,0
574,44,undefined,VRAI,Enregistrement 2,3,12,ZYC8,Not All,boire,VRAI,Enregistrement 2,1,1
575,44,undefined,VRAI,Enregistrement 1,2,36,UUA3,Not All,boire,VRAI,Enregistrement 2,1,0
576,44,undefined,VRAI,Enregistrement 2,3,12,TAO36,Not All,boire,VRAI,Enregistrement 2,1,1
577,44,undefined,FAUX,Enregistrement 2,5,16,OLT28,Not All,boire,VRAI,Enregistrement 2,0,1
578,44,undefined,FAUX,Enregistrement 2,5,12,BJT30,Not All,boire,VRAI,Enregistrement 2,0,1
579,44,undefined,VRAI,Enregistrement 1,2,28,JLR1,Not All,boire,VRAI,Enregistrement 2,1,0
580,45,undefined,FAUX,Enregistrement 2,3,36,ZBB23,Not all,dire,FAUX,Enregistrement 2,1,1
581,45,undefined,FAUX,Enregistrement 2,4,36,NLP40,Not all,dire,FAUX,Enregistrement 2,1,1
582,45,undefined,FAUX,Enregistrement 1,2,24,BSW19,Not all,dire,FAUX,Enregistrement 2,1,0
583,45,undefined,FAUX,Enregistrement 1,3,12,GZM25,Not all,dire,FAUX,Enregistrement 2,1,0
584,45,undefined,FAUX,Enregistrement 2,3,36,XHJ4,Not all,dire,FAUX,Enregistrement 2,1,1
585,45,undefined,FAUX,Enregistrement 1,5,32,CFJ15,Not all,dire,FAUX,Enregistrement 2,1,0
586,45,undefined,FAUX,Enregistrement 2,2,12,TVY31,Not all,dire,FAUX,Enregistrement 2,1,1
587,45,undefined,FAUX,Enregistrement 2,1,12,HYE38,Not all,dire,FAUX,Enregistrement 2,1,1
588,45,undefined,FAUX,Enregistrement 2,5,16,TAO36,Not all,dire,FAUX,Enregistrement 2,1,1
589,45,undefined,FAUX,Enregistrement 1,2,36,JLR1,Not all,dire,FAUX,Enregistrement 2,1,0
590,45,undefined,FAUX,Enregistrement 2,5,16,IEI16,Not all,dire,FAUX,Enregistrement 2,1,1
591,45,undefined,FAUX,Enregistrement 1,3,20,VBJ34,Not all,dire,FAUX,Enregistrement 2,1,0
592,45,undefined,FAUX,Enregistrement 2,5,36,ZYC8,Not all,dire,FAUX,Enregistrement 2,1,1
593,45,undefined,FAUX,Enregistrement 2,4,24,BJT30,Not all,dire,FAUX,Enregistrement 2,1,1
594,45,undefined,FAUX,Enregistrement 1,1,24,EQH1,Not all,dire,FAUX,Enregistrement 2,1,0
595,45,undefined,FAUX,Enregistrement 2,4,36,LVE32,Not all,dire,FAUX,Enregistrement 2,1,1
596,45,undefined,FAUX,Enregistrement 1,5,32,BDC12,Not all,dire,FAUX,Enregistrement 2,1,0
597,45,undefined,FAUX,Enregistrement 2,5,24,CCU15,Not all,dire,FAUX,Enregistrement 2,1,1
598,45,undefined,FAUX,Enregistrement 2,5,32,NCR14,Not all,dire,FAUX,Enregistrement 2,1,1
599,45,undefined,FAUX,Enregistrement 1,3,36,ABY16,Not all,dire,FAUX,Enregistrement 2,1,0
600,45,undefined,FAUX,Enregistrement 2,5,28,QCG14,Not all,dire,FAUX,Enregistrement 2,1,1
601,45,undefined,FAUX,Enregistrement 2,2,16,IED39,Not all,dire,FAUX,Enregistrement 2,1,1
602,45,undefined,FAUX,Enregistrement 2,2,32,UUA3,Not all,dire,FAUX,Enregistrement 2,1,1
603,45,undefined,FAUX,Enregistrement 2,4,12,ZXY5,Not all,dire,FAUX,Enregistrement 2,1,1
604,45,undefined,FAUX,Enregistrement 1,4,28,IND9,Not all,dire,FAUX,Enregistrement 2,1,0
605,45,undefined,FAUX,Enregistrement 2,3,32,WXS7,Not all,dire,FAUX,Enregistrement 2,1,1
606,45,undefined,FAUX,Enregistrement 2,1,20,QNS18,Not all,dire,FAUX,Enregistrement 2,1,1
607,45,undefined,FAUX,Enregistrement 1,1,20,AEX2,Not all,dire,FAUX,Enregistrement 2,1,0
608,46,undefined,FAUX,Enregistrement 2,5,12,QCG14,Not All,faire,VRAI,Enregistrement 2,0,1
609,46,undefined,VRAI,Enregistrement 2,5,36,IEI16,Not All,faire,VRAI,Enregistrement 2,1,1
610,46,undefined,VRAI,Enregistrement 2,1,24,QNS18,Not All,faire,VRAI,Enregistrement 2,1,1
611,46,undefined,FAUX,Enregistrement 2,3,20,OLT28,Not All,faire,VRAI,Enregistrement 2,0,1
612,46,undefined,VRAI,Enregistrement 1,3,12,VBJ34,Not All,faire,VRAI,Enregistrement 2,1,0
613,46,undefined,VRAI,Enregistrement 2,2,24,UUA3,Not All,faire,VRAI,Enregistrement 2,1,1
614,46,undefined,VRAI,Enregistrement 1,1,28,BIL13,Not All,faire,VRAI,Enregistrement 2,1,0
615,46,undefined,VRAI,Enregistrement 1,4,32,IND9,Not All,faire,VRAI,Enregistrement 2,1,0
616,46,undefined,VRAI,Enregistrement 1,5,36,ZXY5,Not All,faire,VRAI,Enregistrement 2,1,0
617,46,undefined,VRAI,Enregistrement 1,5,36,CFJ15,Not All,faire,VRAI,Enregistrement 2,1,0
618,46,undefined,FAUX,Enregistrement 2,5,36,NCR14,Not All,faire,VRAI,Enregistrement 2,0,1
619,46,undefined,VRAI,Enregistrement 1,4,20,WXS7,Not All,faire,VRAI,Enregistrement 2,1,0
620,46,undefined,VRAI,Enregistrement 2,3,20,LVE32,Not All,faire,VRAI,Enregistrement 2,1,1
621,46,undefined,VRAI,Enregistrement 1,2,28,TVY31,Not All,faire,VRAI,Enregistrement 2,1,0
622,46,undefined,VRAI,Enregistrement 1,4,32,NLP40,Not All,faire,VRAI,Enregistrement 2,1,0
623,46,undefined,VRAI,Enregistrement 2,1,20,EQH1,Not All,faire,VRAI,Enregistrement 2,1,1
624,46,undefined,VRAI,Enregistrement 2,1,12,ZBB23,Not All,faire,VRAI,Enregistrement 2,1,1
625,46,undefined,VRAI,Enregistrement 2,5,24,ZYC8,Not All,faire,VRAI,Enregistrement 2,1,1
626,46,undefined,FAUX,Enregistrement 1,1,16,XHJ4,Not All,faire,VRAI,Enregistrement 2,0,0
627,46,undefined,VRAI,Enregistrement 2,5,20,BJT30,Not All,faire,VRAI,Enregistrement 2,1,1
628,46,undefined,VRAI,Enregistrement 1,2,20,JLR1,Not All,faire,VRAI,Enregistrement 2,1,0
629,46,undefined,VRAI,Enregistrement 1,5,20,GZM25,Not All,faire,VRAI,Enregistrement 2,1,0
630,46,undefined,VRAI,Enregistrement 2,3,24,TAO36,Not All,faire,VRAI,Enregistrement 2,1,1
631,46,undefined,VRAI,Enregistrement 1,3,20,ABY16,Not All,faire,VRAI,Enregistrement 2,1,0
632,46,undefined,VRAI,Enregistrement 1,3,20,CCU15,Not All,faire,VRAI,Enregistrement 2,1,0
633,46,undefined,VRAI,Enregistrement 2,4,28,BDC12,Not All,faire,VRAI,Enregistrement 2,1,1
634,46,undefined,VRAI,Enregistrement 1,3,32,BSW19,Not All,faire,VRAI,Enregistrement 2,1,0
635,47,undefined,VRAI,Enregistrement 1,5,16,IND9,Not All,lire,VRAI,Enregistrement 2,1,0
636,47,undefined,VRAI,Enregistrement 2,1,32,ZBB23,Not All,lire,VRAI,Enregistrement 2,1,1
637,47,undefined,VRAI,Enregistrement 1,3,24,VBJ34,Not All,lire,VRAI,Enregistrement 2,1,0
638,47,undefined,VRAI,Enregistrement 1,2,12,JLR1,Not All,lire,VRAI,Enregistrement 2,1,0
639,47,undefined,VRAI,Enregistrement 1,3,32,ABY16,Not All,lire,VRAI,Enregistrement 2,1,0
640,47,undefined,VRAI,Enregistrement 2,4,12,OLT28,Not All,lire,VRAI,Enregistrement 2,1,1
641,47,undefined,FAUX,Enregistrement 1,5,16,NCR14,Not All,lire,VRAI,Enregistrement 2,0,0
642,47,undefined,VRAI,Enregistrement 1,1,12,BIL13,Not All,lire,VRAI,Enregistrement 2,1,0
643,47,undefined,VRAI,Enregistrement 1,1,12,UUA3,Not All,lire,VRAI,Enregistrement 2,1,0
644,47,undefined,VRAI,Enregistrement 2,2,16,BSW19,Not All,lire,VRAI,Enregistrement 2,1,1
645,47,undefined,VRAI,Enregistrement 1,1,32,TVY31,Not All,lire,VRAI,Enregistrement 2,1,0
646,47,undefined,VRAI,undefined,2,36,CCU15,Not All,lire,VRAI,Enregistrement 2,1,0
647,47,undefined,VRAI,Enregistrement 2,5,28,ZYC8,Not All,lire,VRAI,Enregistrement 2,1,1
648,47,undefined,VRAI,Enregistrement 1,5,28,LVE32,Not All,lire,VRAI,Enregistrement 2,1,0
649,47,undefined,VRAI,Enregistrement 1,3,24,WXS7,Not All,lire,VRAI,Enregistrement 2,1,0
650,47,undefined,VRAI,Enregistrement 2,5,24,IEI16,Not All,lire,VRAI,Enregistrement 2,1,1
651,47,undefined,VRAI,Enregistrement 1,1,24,AEX2,Not All,lire,VRAI,Enregistrement 2,1,0
652,47,undefined,VRAI,Enregistrement 1,1,32,EQH1,Not All,lire,VRAI,Enregistrement 2,1,0
653,47,undefined,VRAI,Enregistrement 1,3,12,WPX3,Not All,lire,VRAI,Enregistrement 2,1,0
654,47,undefined,VRAI,Enregistrement 2,3,20,TAO36,Not All,lire,VRAI,Enregistrement 2,1,1
655,47,undefined,VRAI,Enregistrement 1,3,36,BDC12,Not All,lire,VRAI,Enregistrement 2,1,0
656,47,undefined,VRAI,Enregistrement 1,3,28,XHJ4,Not All,lire,VRAI,Enregistrement 2,1,0
657,47,undefined,VRAI,Enregistrement 1,4,20,ZXY5,Not All,lire,VRAI,Enregistrement 2,1,0
658,47,undefined,VRAI,Enregistrement 2,3,36,BJT30,Not All,lire,VRAI,Enregistrement 2,1,1
659,47,undefined,VRAI,Enregistrement 2,1,16,QNS18,Not All,lire,VRAI,Enregistrement 2,1,1
660,47,undefined,FAUX,Enregistrement 2,5,16,QCG14,Not All,lire,VRAI,Enregistrement 2,0,1
661,47,undefined,VRAI,Enregistrement 2,4,20,CFJ15,Not All,lire,VRAI,Enregistrement 2,1,1
662,47,undefined,VRAI,Enregistrement 1,5,16,GZM25,Not All,lire,VRAI,Enregistrement 2,1,0
663,47,undefined,VRAI,Enregistrement 2,4,28,NLP40,Not All,lire,VRAI,Enregistrement 2,1,1
664,48,undefined,VRAI,Enregistrement 1,3,20,BSW19,Not All,manger,VRAI,Enregistrement 2,1,0
665,48,undefined,VRAI,Enregistrement 1,3,28,ABY16,Not All,manger,VRAI,Enregistrement 2,1,0
666,48,undefined,VRAI,Enregistrement 1,5,12,NCR14,Not All,manger,VRAI,Enregistrement 2,1,0
667,48,undefined,VRAI,Enregistrement 1,5,32,LVE32,Not All,manger,VRAI,Enregistrement 2,1,0
668,48,undefined,VRAI,Enregistrement 1,3,24,BDC12,Not All,manger,VRAI,Enregistrement 2,1,0
669,48,undefined,FAUX,Enregistrement 1,5,16,BJT30,Not All,manger,VRAI,Enregistrement 2,0,0
670,48,undefined,VRAI,Enregistrement 2,5,20,QCG14,Not All,manger,VRAI,Enregistrement 2,1,1
671,48,undefined,FAUX,Enregistrement 1,1,20,BIL13,Not All,manger,VRAI,Enregistrement 2,0,0
672,48,undefined,VRAI,Enregistrement 1,2,16,UUA3,Not All,manger,VRAI,Enregistrement 2,1,0
673,48,undefined,VRAI,Enregistrement 2,2,24,XHJ4,Not All,manger,VRAI,Enregistrement 2,1,1
674,48,undefined,VRAI,Enregistrement 2,3,28,ZBB23,Not All,manger,VRAI,Enregistrement 2,1,1
675,48,undefined,VRAI,Enregistrement 1,1,20,TVY31,Not All,manger,VRAI,Enregistrement 2,1,0
676,48,undefined,FAUX,Enregistrement 1,1,36,QNS18,Not All,manger,VRAI,Enregistrement 2,0,0
677,48,undefined,VRAI,Enregistrement 2,3,32,TAO36,Not All,manger,VRAI,Enregistrement 2,1,1
678,48,undefined,VRAI,Enregistrement 1,3,28,WXS7,Not All,manger,VRAI,Enregistrement 2,1,0
679,48,undefined,VRAI,undefined,2,16,CCU15,Not All,manger,VRAI,Enregistrement 2,1,0
680,48,undefined,VRAI,Enregistrement 1,5,28,ZXY5,Not All,manger,VRAI,Enregistrement 2,1,0
681,48,undefined,FAUX,Enregistrement 2,2,16,VBJ34,Not All,manger,VRAI,Enregistrement 2,0,1
682,48,undefined,VRAI,Enregistrement 2,4,16,CFJ15,Not All,manger,VRAI,Enregistrement 2,1,1
683,48,undefined,VRAI,Enregistrement 1,1,28,EQH1,Not All,manger,VRAI,Enregistrement 2,1,0
684,48,undefined,VRAI,Enregistrement 2,4,12,NLP40,Not All,manger,VRAI,Enregistrement 2,1,1
685,48,undefined,VRAI,Enregistrement 2,5,28,IEI16,Not All,manger,VRAI,Enregistrement 2,1,1
686,48,undefined,VRAI,Enregistrement 1,1,16,JLR1,Not All,manger,VRAI,Enregistrement 2,1,0
687,48,undefined,VRAI,Enregistrement 2,5,16,ZYC8,Not All,manger,VRAI,Enregistrement 2,1,1
688,48,undefined,VRAI,Enregistrement 1,5,20,IND9,Not All,manger,VRAI,Enregistrement 2,1,0
689,49,undefined,FAUX,Enregistrement 1,2,36,BSW19,Not all,voir,FAUX,Enregistrement 2,1,0
690,49,undefined,FAUX,Enregistrement 1,1,28,UUA3,Not all,voir,FAUX,Enregistrement 2,1,0
691,49,undefined,FAUX,Enregistrement 1,4,16,WXS7,Not all,voir,FAUX,Enregistrement 2,1,0
692,49,undefined,FAUX,Enregistrement 2,4,16,ZXY5,Not all,voir,FAUX,Enregistrement 2,1,1
693,49,undefined,FAUX,Enregistrement 2,2,28,VBJ34,Not all,voir,FAUX,Enregistrement 2,1,1
694,49,undefined,FAUX,Enregistrement 1,2,24,JLR1,Not all,voir,FAUX,Enregistrement 2,1,0
695,49,undefined,FAUX,undefined,1,12,CCU15,Not all,voir,FAUX,Enregistrement 2,1,0
696,49,undefined,FAUX,Enregistrement 2,4,20,NLP40,Not all,voir,FAUX,Enregistrement 2,1,1
697,49,undefined,FAUX,Enregistrement 1,1,12,CFJ15,Not all,voir,FAUX,Enregistrement 2,1,0
698,49,undefined,FAUX,Enregistrement 2,3,28,TAO36,Not all,voir,FAUX,Enregistrement 2,1,1
699,49,undefined,FAUX,Enregistrement 2,5,36,EQH1,Not all,voir,FAUX,Enregistrement 2,1,1
700,49,undefined,FAUX,Enregistrement 1,1,24,BIL13,Not all,voir,FAUX,Enregistrement 2,1,0
